"","I_Andesite_06","I_Basalt_02","I_Diorite_10","I_Gabbro_03","I_Granite_11","I_Obsidian_09","I_Pegmatite_01","I_Peridotite_11","I_Pumice_06","I_Rhyolite_11","M_Amphibolite_07","M_Anthracite_12","M_Gneiss_07","M_Hornfels_08","M_Marble_04","M_Migmatite_08","M_Phyllite_09","M_Quartzite_09","M_Schist_02","M_Slate_09","S_Bituminous Coal_10","S_Breccia_11","S_Chert_03","S_Conglomerate_08","S_Dolomite_12","S_Micrite_09","S_Rock Gypsum_02","S_Rock Salt_12","S_Sandstone_12","S_Shale_04"
"I_Andesite_06",NA,5.5294,6.7059,6.8824,5.6324,3.7206,3.25,5.1765,3.1912,5.5441,7.4118,4.0735,3.6912,5.6324,4.4118,5.25,4.2059,6.4118,6.7206,4.5147,4.0294,4.2059,2.7941,3.4118,4.1912,2.8676,3.3676,5,2.4118,4.7206
"I_Basalt_02",5.5294,NA,3.7353,5.8382,2.9559,5.3676,2.8382,3.9706,3.1765,6.5441,5.5735,5.4706,4.5882,7.0294,4.9853,5.0294,5.0441,5.9706,5,5.4265,5.7353,2.6765,3.1324,2.6029,5.75,6.1618,4.6765,3.8824,3.2941,6.7353
"I_Diorite_10",6.7059,3.7353,NA,6.8382,6.5735,3.1176,4.4559,5.3529,3.8529,3.5735,6.3382,3.4265,4.8529,4.1324,3.3235,5.7941,5.6912,4.9559,5.8676,3.1765,3.7206,3.2353,3.2353,4.5,4.6176,3.7353,3.2647,3.75,2.6471,3.7059
"I_Gabbro_03",6.8824,5.8382,6.8382,NA,6.0882,3.8971,4.0294,4.7206,3.3971,4.0735,7.2941,4.5441,5.6176,5.7206,4.5147,6.1324,4.7941,6.2647,6.1471,3.6618,4.9559,4.0588,2.8382,3.3676,4.1324,3.6176,3.7794,3.2206,2.2794,5.0294
"I_Granite_11",5.6324,2.9559,6.5735,6.0882,NA,2.5147,4.7059,3.6618,3.5,3.4706,5.6029,3.0735,3.8235,3.7206,5.1765,4.8676,3.1912,4.9265,5.0735,2.8824,3.2353,4.3235,3,3.9853,4.1618,3.1618,4.3676,4.3235,2.5882,2.75
"I_Obsidian_09",3.7206,5.3676,3.1176,3.8971,2.5147,NA,3.2059,3.2059,2.3676,3.9265,4.7353,8,4.0735,5.5147,3.3382,4,4.3382,3.3235,4.0294,3.25,7.0588,2.3235,4.1912,2.9559,3.2059,4.4118,4.0441,3.7794,2.4706,5.6029
"I_Pegmatite_01",3.25,2.8382,4.4559,4.0294,4.7059,3.2059,NA,5.7059,3.8382,2.7059,4.0441,3.3235,4.6471,3.9559,2.5588,4.8235,4.3382,3.1618,5.4559,2.8824,3.2353,2.8971,4.2941,5.8676,2.7941,3.5,2.9118,3.3971,2.7059,2.7059
"I_Peridotite_11",5.1765,3.9706,5.3529,4.7206,3.6618,3.2059,5.7059,NA,5.5735,3.1765,4.8824,2.9265,4.5147,4.4559,2.6471,5.5882,6.7206,3.4118,5.5441,2.8088,3.4265,2.1765,3.3382,6.1471,3.3676,4.1618,2.7647,2.5294,2.9559,3.2941
"I_Pumice_06",3.1912,3.1765,3.8529,3.3971,3.5,2.3676,3.8382,5.5735,NA,3.8382,3.0882,2.3971,4.5,3.0882,2.9412,4.1176,4.5588,2.9706,3.6618,2.9412,2.9706,2.1029,4.3088,4.5441,4.3382,4.25,2.9706,2.1324,5.5147,2.3382
"I_Rhyolite_11",5.5441,6.5441,3.5735,4.0735,3.4706,3.9265,2.7059,3.1765,3.8382,NA,4.2647,3.7059,4.5588,5.8824,5.5,4.3088,4.5,5.8382,5.4265,6.5147,4.8382,2.3235,3.8529,2.9559,6.9853,4.4559,4.9853,3.7794,3.9118,5.5294
"M_Amphibolite_07",7.4118,5.5735,6.3382,7.2941,5.6029,4.7353,4.0441,4.8824,3.0882,4.2647,NA,5.4706,4.6912,5.8676,3.4559,5.2941,4.2059,5.4706,6.4118,3.6912,5.0588,3.8235,2.9853,3.4412,3.1765,2.9265,3.3971,4.6765,2.3382,4.9412
"M_Anthracite_12",4.0735,5.4706,3.4265,4.5441,3.0735,8,3.3235,2.9265,2.3971,3.7059,5.4706,NA,3.6029,5.8088,3.3824,3.7794,3.7647,4.2059,4.3088,2.9265,6.8824,2.4412,3.0147,2.6618,2.9118,3.9118,3.5588,4.5,2.1324,5.25
"M_Gneiss_07",3.6912,4.5882,4.8529,5.6176,3.8235,4.0735,4.6471,4.5147,4.5,4.5588,4.6912,3.6029,NA,5.2059,3.1471,7.3676,5.8529,4.25,4.5735,4.0294,4.5735,2.7059,3.9706,4.3382,4.4559,5.3824,3.2794,2.5735,3.2794,4.6324
"M_Hornfels_08",5.6324,7.0294,4.1324,5.7206,3.7206,5.5147,3.9559,4.4559,3.0882,5.8824,5.8676,5.8088,5.2059,NA,4.3235,5.1618,5.7353,5.3676,5.75,4.3971,6.8382,3.1618,3.1176,3.6765,4.7941,5.5,3.9706,3.6618,2.8088,5.3971
"M_Marble_04",4.4118,4.9853,3.3235,4.5147,5.1765,3.3382,2.5588,2.6471,2.9412,5.5,3.4559,3.3824,3.1471,4.3235,NA,3.4412,3.1176,6.8382,4.2794,3.3235,3.0882,3.7794,3.1618,2.4559,5.5441,3.9412,7.0882,6.4706,2.6176,2.9118
"M_Migmatite_08",5.25,5.0294,5.7941,6.1324,4.8676,4,4.8235,5.5882,4.1176,4.3088,5.2941,3.7794,7.3676,5.1618,3.4412,NA,6.0882,5.4118,5.2353,3.6765,5.0294,2.2941,3.5735,4.2206,5.1618,4.4853,3.0735,2.9265,3.5588,4.4559
"M_Phyllite_09",4.2059,5.0441,5.6912,4.7941,3.1912,4.3382,4.3382,6.7206,4.5588,4.5,4.2059,3.7647,5.8529,5.7353,3.1176,6.0882,NA,4.2059,5.6471,3.6029,4.6765,2.1765,3.8529,4.5147,4.3676,5.4559,3.0882,2.9265,3.9706,3.8088
"M_Quartzite_09",6.4118,5.9706,4.9559,6.2647,4.9265,3.3235,3.1618,3.4118,2.9706,5.8382,5.4706,4.2059,4.25,5.3676,6.8382,5.4118,4.2059,NA,5.5735,4.3235,3.3529,4.1912,3.0294,2.9412,5.1912,3.8382,5.5882,5.0147,2.6176,4.0294
"M_Schist_02",6.7206,5,5.8676,6.1471,5.0735,4.0294,5.4559,5.5441,3.6618,5.4265,6.4118,4.3088,4.5735,5.75,4.2794,5.2353,5.6471,5.5735,NA,4.3971,4.7059,3.1912,3.3235,5.2206,4.8529,3.7206,3.8529,5.0882,2.6324,3.9412
"M_Slate_09",4.5147,5.4265,3.1765,3.6618,2.8824,3.25,2.8824,2.8088,2.9412,6.5147,3.6912,2.9265,4.0294,4.3971,3.3235,3.6765,3.6029,4.3235,4.3971,NA,3.8676,2.0588,3.7941,2.7941,5.4706,4.2059,4.1029,3.5588,2.7059,5.8088
"S_Bituminous Coal_10",4.0294,5.7353,3.7206,4.9559,3.2353,7.0588,3.2353,3.4265,2.9706,4.8382,5.0588,6.8824,4.5735,6.8382,3.0882,5.0294,4.6765,3.3529,4.7059,3.8676,NA,2.2647,3.0882,2.9706,4.3971,4.7941,3.0147,3.2353,3.0441,6.8382
"S_Breccia_11",4.2059,2.6765,3.2353,4.0588,4.3235,2.3235,2.8971,2.1765,2.1029,2.3235,3.8235,2.4412,2.7059,3.1618,3.7794,2.2941,2.1765,4.1912,3.1912,2.0588,2.2647,NA,2.1912,2.8382,2.5147,2.7353,3.2206,2.6765,2.1471,2.1618
"S_Chert_03",2.7941,3.1324,3.2353,2.8382,3,4.1912,4.2941,3.3382,4.3088,3.8529,2.9853,3.0147,3.9706,3.1176,3.1618,3.5735,3.8529,3.0294,3.3235,3.7941,3.0882,2.1912,NA,3.8088,4.3235,5.7647,4.4853,2.9265,4.6618,3.2794
"S_Conglomerate_08",3.4118,2.6029,4.5,3.3676,3.9853,2.9559,5.8676,6.1471,4.5441,2.9559,3.4412,2.6618,4.3382,3.6765,2.4559,4.2206,4.5147,2.9412,5.2206,2.7941,2.9706,2.8382,3.8088,NA,2.8088,4.4265,2.1912,2.6765,3.1029,2.6471
"S_Dolomite_12",4.1912,5.75,4.6176,4.1324,4.1618,3.2059,2.7941,3.3676,4.3382,6.9853,3.1765,2.9118,4.4559,4.7941,5.5441,5.1618,4.3676,5.1912,4.8529,5.4706,4.3971,2.5147,4.3235,2.8088,NA,5.7059,5.3235,3.7794,3.9412,5.5882
"S_Micrite_09",2.8676,6.1618,3.7353,3.6176,3.1618,4.4118,3.5,4.1618,4.25,4.4559,2.9265,3.9118,5.3824,5.5,3.9412,4.4853,5.4559,3.8382,3.7206,4.2059,4.7941,2.7353,5.7647,4.4265,5.7059,NA,4.3235,2.5882,4.0588,5.1765
"S_Rock Gypsum_02",3.3676,4.6765,3.2647,3.7794,4.3676,4.0441,2.9118,2.7647,2.9706,4.9853,3.3971,3.5588,3.2794,3.9706,7.0882,3.0735,3.0882,5.5882,3.8529,4.1029,3.0147,3.2206,4.4853,2.1912,5.3235,4.3235,NA,5.7794,2.5294,3.1029
"S_Rock Salt_12",5,3.8824,3.75,3.2206,4.3235,3.7794,3.3971,2.5294,2.1324,3.7794,4.6765,4.5,2.5735,3.6618,6.4706,2.9265,2.9265,5.0147,5.0882,3.5588,3.2353,2.6765,2.9265,2.6765,3.7794,2.5882,5.7794,NA,1.8676,2.9412
"S_Sandstone_12",2.4118,3.2941,2.6471,2.2794,2.5882,2.4706,2.7059,2.9559,5.5147,3.9118,2.3382,2.1324,3.2794,2.8088,2.6176,3.5588,3.9706,2.6176,2.6324,2.7059,3.0441,2.1471,4.6618,3.1029,3.9412,4.0588,2.5294,1.8676,NA,2.7794
"S_Shale_04",4.7206,6.7353,3.7059,5.0294,2.75,5.6029,2.7059,3.2941,2.3382,5.5294,4.9412,5.25,4.6324,5.3971,2.9118,4.4559,3.8088,4.0294,3.9412,5.8088,6.8382,2.1618,3.2794,2.6471,5.5882,5.1765,3.1029,2.9412,2.7794,NA
